Course_Name,Course_Number,Dept_Code,Description,Notes,NumberOfCredits,SemesterOffered,prereq,CrossListed
"  Learning and Behavioral Psychology ",3130,PSYC," Reviews the fundamentals of the processes of learning, memory and conditioning, emphasizing both classical and operant conditioning in human and animal models. It is followed by an exploration of the techniques and theories of behavioral psychology in the applied setting.",NULL,3," ",NULL,NULL
"  Travel Writing ",3130,RHET," In this course, students will become familiar with the genre of travel writing, the history, politics and economics of place, and how these influence culture. Through various reading, writing, and travel experiences, students will gain an understanding of themselves vis a vis the Other and develop an appreciation of how travel can transform the self. They will learn how to respond critically to travel narratives, identify credible sources to inform their writing, make original observations, and modify perspective to compose alternative texts.",NULL,3,NULL,NULL,NULL
"  Formal and Mathematical Logic ",3133,MACT," ",NULL,3," Offered occasionally.","  MACT 2131",NULL
"  Documentary Film ",3140,FILM," A study of the non-fiction film, its international history, theoretical approaches to its structure and effects, and current issues in documentary production. Class screenings will be used to expose students to important and relevant examples of documentary cinema.",NULL,3," Offered occasionally.","FILM 2120",NULL
"  Writing Children’s Literature ",3140,RHET," Students in this course will assess and write works of fiction and nonfiction addressing children through different media (picture books, plays, short stories, novellas). Students will explore who writes and illustrates for children and why, and the language used to address children during different stages. They will engage in projects to entertain children, while providing indirect instruction, and produce written works for organizations that serve the needs of children.",NULL,3,NULL,NULL,NULL
"  Introduction to PDE and Boundary-Value Problems ",3142,MACT," Special functions. Partial differential equations. Fourier series and integrals. Diffusion, potential and wave equations in rectangular, cylindrical, and spherical coordinates. Numerical methods.",NULL,3," Offered occasionally.","MACT 2141",NULL
"  Numerical Methods ",3143,MACT," Number systems and types of errors. Solution of nonlinear equations. Interpolation and the Lagrange Polynomial. Systems of linear equations. Numerical Differentiation and integration. Numerical solutions of ordinary differential equations: Runge Kutta and Multistep Methods. Numerical solutions of partial differential equations: finite difference and elements of the Spectral Method. The course includes a programming based project.",NULL,3," Offered once a year."," CSCE 1001",NULL
"  Optimization II ",3146,MACT," Combinatorial optimization problems such as scheduling, matching, resource allocation, network and assignment problems, with real life applications. Graph modeling, minimum cost network flow problems and its reduction to shortest path and maximum flow problems. Discussion of graph algorithms as well as dual formulations such as the minimum cut problem. The course concludes with an intro to stochastic programming with examples.",NULL,3,NULL,NULL,NULL
"  Western and Arab Musical Instruments ",3150,MUSC," Fundamentals of percussion, brass, woodwind, string, keyboard, and electric and electronic instruments in Western and Arab music. The course will explain how sound is produced in these instruments, looking at pitch and decibel ranges as well as playing techniques. Also, this course will examine the structure of music ensembles, from the orchestra and Arab takht to modern and contemporary ensembles in Western and Arab music.
",NULL,3,NULL,"MUSC 2200",NULL
"  Poetry Writing ",3150,RHET," This workshop-based course encourages students to explore their ideas through the language and imagery of poetry. Students will experiment with rhythm, rhyme, modes of discourse and poetic form. Throughout the course, they will examine the work of poets from diverse traditions, and the impact of their own expression. In a final portfolio, students will show careful analytical thinking about their work and consideration for how their poems are situated in the larger literary and cultural context.",NULL,3,NULL,NULL,NULL
"  Structural Design for Architects I ",3151,CENG," Reinforced Concrete Design: Flexural theory of reinforced concrete beams. Design of singly reinforced sections, design and detailing of: beams, solid slabs and short columns. Structural Steel Design: properties of steel, load and resistance factor design of steel structures, structural systems, and computation of loads and load combinations. Design of: Tension of compression members. Behavior of beams and beam columns. Types of Connections.",NULL,3," Offered in fall and spring.","CENG 3112",NULL
